Scenario,Year,Control,Stored_Value,Independent_Value,Difference,Authority,Formula,Status
BEAR,2029,BS_IDENTITY,721909.86741482,721909.86741482,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BEAR,2029,CASH_ROLLFORWARD,107571.13542051,107571.13542051,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BEAR,2029,CASH_TO_BS_LINK,128082.04475455,128082.04475455,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BEAR,2029,EQUITY_ROLLFORWARD,213059.90591030,213059.90591030,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BEAR,2029,NCI_ROLLFORWARD,15158.84220413,15158.84220413,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BEAR,2029,NET_PROFIT_LINK,40462.07961253,40462.07961253,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BEAR,2029,EPS_RECOMPUTE,5.39542197,5.39542197,-0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BEAR,2029,PPE_ROLLFORWARD,52650.03478439,52650.03478439,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BEAR,2029,DEBT_ROLLFORWARD,77133.49481733,77133.49481733,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BEAR,2030,SEGMENT_RECONCILIATION,592941.70674593,592941.70674593,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BEAR,2030,BS_IDENTITY,761363.07366490,761363.07366490,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BEAR,2030,CASH_ROLLFORWARD,121645.71234971,121645.71234971,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BEAR,2030,CASH_TO_BS_LINK,143389.39788199,143389.39788199,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BEAR,2030,EQUITY_ROLLFORWARD,226007.15887550,226007.15887550,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BEAR,2030,NCI_ROLLFORWARD,15711.37991775,15711.37991775,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
