Scenario,WACC,Terminal_Growth,PV_Forecast_FCFF,Terminal_Value,PV_Terminal_Value,Enterprise_Value,Equity_Value,Shares_Million,Per_Share,Terminal_Value_Percent_EV
BEAR,0.07026179,0.01500000,154873.96986502,826584.79078420,588623.10646471,743497.07632973,869340.02786540,7402.51416000,117.43848226,0.79169525
BASE,0.05266623,0.02500000,230179.41592455,2357768.72830650,1824096.24466898,2054275.66059352,2180118.61212919,7402.51366000,294.51058279,0.88795106
BULL,0.05077553,0.03000000,326274.43435316,4626202.28417614,3611393.94738780,3937668.38174096,4063511.33327663,7402.51316000,548.93672533,0.91714019
