Scenario,Segment,Q1_Actual,Remaining_9M_Forecast,FY_2026E,Method
BEAR,GROUP,131098.60100000,346529.89356167,477628.49456167,CERTIFIED_GROUP_Q1_ACTUAL_PLUS_RESIDUAL_9M_NOT_ANNUALIZED
BASE,GROUP,131098.60100000,354886.41941372,485985.02041372,CERTIFIED_GROUP_Q1_ACTUAL_PLUS_RESIDUAL_9M_NOT_ANNUALIZED
BULL,GROUP,131098.60100000,377457.36449006,508555.96549006,CERTIFIED_GROUP_Q1_ACTUAL_PLUS_RESIDUAL_9M_NOT_ANNUALIZED
