Attack_ID,Target,Baseline_SHA,Mutation,Closure_Rehash_Performed,Expected_Result,Actual_Result,Semantic_Control_Reached,Valid_Test,False_Accept
FR-R3-ATK-020,documents/MIDEA_GROUP_INVESTMENT_MEMO_R3.pdf,3477163894faa4be4e0becac5248cd11ed3beeb64eef3fc236e78e19de4214fb,investment memo fair value,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-021,dashboard/app.py,024a6df5e939e42d44f618c9d6aa1a8ac30620e366db4be99c2051db45a9be98,dashboard value,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-022,verifier/final_calculation_verifier.py,590784e398aed90eab412b5fdbe7f795548fa350da8c8a15c0296294a79d8390,public verifier,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-023,verifier/end_to_end_verifier.py,fe206ba2f28ecd8b73b6cb856c3c6eeb28d56594bf0efe797d158059544497c3,end-to-end verifier,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-024,FINAL_VALUATION_AUTHORITY_R3.json,2972d606eba5ae9715e98adc9cdc2c91d66d392c04d49b2e04758f1ce70a49c4,final valuation authority,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-025,RELEASE_MANIFEST_R3.json,9823c6fb89444e25210a5957b0d374d96e81fca7e9376274bda3fe676d5fee0c,release manifest,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-026,model/H6_NORMALIZED_PEER_DATA_R3.csv,5a2e01952672ea47367c94d537c29517e9e0af29eca63a3faa5c6dac91fb979f,H6 peer earnings,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-027,model/H3B_MODEL_LONG.csv,5eafd54840766c723afb204c5b7d2d76f96b27d13067a64da2cc4d76f395b508,full operating NWC,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-028,model/H3B_PPE_SCHEDULE.csv,a5d1028f2d19617f77e904b97f2e6761948c107fb8e56c0f53bea9575f143617,PPE schedule,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-029,model/H3B_DEBT_SCHEDULE.csv,c3a4c37200975f8731b07b65d6ce3594dd0fc3b46613e97ea04ef583fbd9790a,debt schedule,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
