H1_Fact_ID,Year,Economic_Period,Metric_ID,Canonical_Metric_ID,Source_Fact_ID,Value,Unit,Analytical_Value,Analytical_Unit,Conversion_Factor,Accounting_Basis,Scope,Fact_Type,Original_or_Restated,Transformation,Source_ID,Source_Report_Period
2024::ORIGINAL_REPORTED_2024_CAS::IS_FEE_COMMISSION_EXPENSE,2024,2024A,IS_FEE_COMMISSION_EXPENSE,IS_FEE_COMMISSION_EXPENSE,ORIGINAL_REPORTED_2024_CAS::IS_FEE_COMMISSION_EXPENSE,-3157,RMB_THOUSAND,-3.157,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_FEE_COMMISSION_INCOME,2024,2024A,IS_FEE_COMMISSION_INCOME,IS_FEE_COMMISSION_INCOME,ORIGINAL_REPORTED_2024_CAS::IS_FEE_COMMISSION_INCOME,576,RMB_THOUSAND,0.576,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_FINANCE_INTEREST_INCOME,2024,2024A,IS_FINANCE_INTEREST_INCOME,IS_FINANCE_INTEREST_INCOME,ORIGINAL_REPORTED_2024_CAS::IS_FINANCE_INTEREST_INCOME,7200991,RMB_THOUSAND,7200.991,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_FINANCE_RESULT,2024,2024A,IS_FINANCE_RESULT,IS_FINANCE_RESULT,ORIGINAL_REPORTED_2024_CAS::IS_FINANCE_RESULT,3329248,RMB_THOUSAND,3329.248,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_FINANCIAL_BUSINESS_INTEREST_COST,2024,2024A,IS_FINANCIAL_BUSINESS_INTEREST_COST,IS_FINANCIAL_BUSINESS_INTEREST_COST,ORIGINAL_REPORTED_2024_CAS::IS_FINANCIAL_BUSINESS_INTEREST_COST,-1883,RMB_THOUSAND,-1.883,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_FINANCIAL_BUSINESS_INTEREST_INCOME,2024,2024A,IS_FINANCIAL_BUSINESS_INTEREST_INCOME,IS_FINANCIAL_BUSINESS_INTEREST_INCOME,ORIGINAL_REPORTED_2024_CAS::IS_FINANCIAL_BUSINESS_INTEREST_INCOME,1934090,RMB_THOUSAND,1934.09,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_FINANCING_INTEREST_EXPENSE,2024,2024A,IS_FINANCING_INTEREST_EXPENSE,IS_FINANCING_INTEREST_EXPENSE,ORIGINAL_REPORTED_2024_CAS::IS_FINANCING_INTEREST_EXPENSE,-2453361,RMB_THOUSAND,-2453.361,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_INCOME_TAX,2024,2024A,IS_INCOME_TAX,IS_INCOME_TAX,ORIGINAL_REPORTED_2024_CAS::IS_INCOME_TAX,-7932532,RMB_THOUSAND,-7932.532,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_INVESTMENT_INCOME,2024,2024A,IS_INVESTMENT_INCOME,IS_INVESTMENT_INCOME,ORIGINAL_REPORTED_2024_CAS::IS_INVESTMENT_INCOME,1442940,RMB_THOUSAND,1442.94,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_LEASE_INTEREST_EXPENSE,2024,2024A,IS_LEASE_INTEREST_EXPENSE,IS_LEASE_INTEREST_EXPENSE,ORIGINAL_REPORTED_2024_CAS::IS_LEASE_INTEREST_EXPENSE,151181,RMB_THOUSAND,151.181,RMB_MILLION,0.001,CAS,CONSOLIDATED,DERIVED,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
